inpo,col_name
2,mcs_sum_NE IDhour__mean_en_all_rows
2,data_rate_diff3
2,access_success_rate_diff1_roll_7
2,access_success_rate_diff1-data_rate_diff2-bler_diff2
2,bler_diff2_max_NE ID__mean_en_all_rows
2,access_success_rate_diff1+mcs_diff2+bler_diff2
2,data_rate_diff2_sum_NE IDhour__mean_en_all_rows
2,data_rate_max_NE IDhour__mean_en_all_rows
2,data_rate_sum_NE IDrelation_fault_weekday_train_mean_en_top_cols_x
2,cqi_sum_NE IDhour__mean_en_all_rows
2,access_success_rate_diff1-TA_diff2-data_rate_diff1
2,data_rate_diff2-1_mean_ID_1dayofweekhour__mean_en_all_rows
2,resource_utilition_rate_diff2_sum_NE ID__mean_en_all_rows
2,mcs_diff1-1_mean_ID_1dayofweekhour_data_rate_all_diff_binary_sum__mean_en_all_rows_label1
2,bler_diff2_roll_7
2,access_success_rate_diff1-bler_diff2-cqi_diff2
2,data_rate_diff1_roll_3
2,resource_utilition_rate_diff3-1_min_iddayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
